name,start,end,months,ann_ret,geo_ret,ann_vol,sharpe,t_stat_ret,p_val_ret,ret_ci_lo,ret_ci_hi,max_dd,capm_alpha,alpha_se,alpha_t,alpha_p,alpha_ci_lo,alpha_ci_hi,capm_beta,beta_t,skewness,kurtosis,calmar,sortino,pct_positive,worst_month
Mkt Neutral (EW),1976-02-01,2024-12-01,587,0.11458732726544867,0.11350914230381304,0.11575636823418423,0.9899008496329939,6.9234111731207575,1.1616485551257938e-11,0.08214794791553726,0.14702670661536008,-0.2905846014929973,0.08093100040780982,0.019199326149305272,4.215304213202207,2.4944171407213642e-05,0.04330032115517148,0.11856167966044814,-0.09730349316507719,-2.969241312661464,0.3408877591585122,1.0872140980267826,0.39433379014823694,1.8447353763774685,61.839863713798984,-0.07850831109638806
EW Long,1974-07-01,2024-12-01,606,0.16184882752358146,0.15591055722936797,0.17929090650944624,0.9027163210592288,6.415004769560876,2.8418600805935057e-10,0.1123985600114757,0.21129909503568722,-0.4686175408608813,0.03147420901086988,0.008908380444561666,3.5331011295194585,0.00041071533073710727,0.014013783339529014,0.04893463468221074,1.0404099678843666,37.44466941503975,-0.2664312545666441,2.2817714867715155,0.345375094637419,1.5025602669501081,63.03630363036304,-0.25642009153962136
EW Short,1976-02-01,2024-12-01,587,-0.10322539901076716,-0.11840220232664578,0.21158713116907243,-0.48786236875759276,-3.4121314029114633,0.0006890044653147243,-0.16252023797519533,-0.04393056004633898,-0.9981133481945642,0.0027939016274111106,0.012171233210061905,0.2295495928137672,0.8184417799670278,-0.021061715464310224,0.026649518719132445,-1.2741660826374348,-45.54264501786461,0.6350482988841099,2.1724265506777973,-0.10342051751685945,-0.6581428898057814,40.71550255536627,-0.20681410012766718
Mkt Neutral (VW),1976-02-01,2024-12-01,587,0.089083419835824,0.07685018503661123,0.17251270270440847,0.5163875960396018,3.6116381286136297,0.00033036147370579805,0.04073873616032004,0.13742810351132798,-0.45699817097768597,0.058880360191118586,0.025834962418803835,2.279096026408881,0.02266135768163597,0.008243833850263067,0.10951688653197411,-0.13880570955886526,-2.0947468900129045,0.05618196070698072,2.6720372314559286,0.19493167695888594,0.8301732747993268,56.38841567291312,-0.2397601842566699
VW Long,1974-07-01,2024-12-01,606,0.14069375972935091,0.13375981793005787,0.1703884203552981,0.8257237166467818,5.8678695145482935,7.273673219287957e-09,0.09369888903806634,0.1876886304206355,-0.4671605826858732,0.01728833872387054,0.010924652263994637,1.582507003984857,0.11353387467369329,-0.004123979713558948,0.03870065716130003,0.9579719293490028,30.885329594454824,-0.20077369483270574,1.9075514820304438,0.30116787448215815,1.3538423322052353,61.71617161716172,-0.2216243807553624
VW Short,1976-02-01,2024-12-01,587,-0.09626556851677981,-0.10918299640467077,0.1950550107822634,-0.4935303539791625,-3.451773547098579,0.0005970387327809412,-0.15092747252594796,-0.04160366450761165,-0.9970073730076556,0.002170777318984792,0.010316647862586414,0.2104149863307026,0.8333437970673283,-0.018049852491684577,0.02239140712965416,-1.1830322630663894,-47.851293020879694,0.6661921209235585,2.2479128234902106,-0.09655452018010365,-0.6678731628837864,40.03407155025553,-0.20196363640875864
S&P 500,1974-07-01,2024-12-01,606,0.12695841584158418,0.12040095078017443,0.15892759208230575,0.7988443930858443,5.676856031327278,2.1304565001045717e-08,0.08312455891861317,0.1707922727645552,-0.5030641442636927,7.806255641895632e-18,1.1738019628286852e-17,0.6650402613984164,0.5060247420119051,-1.5200262829546598e-17,3.0812774113337865e-17,1.0000000000000004,1.5174676489775972e+16,-0.5168150115399054,1.8073327387593316,0.25237023407304493,1.2502152040790029,63.53135313531353,-0.22590000000000002
