date,w_long,w_short,ew_long,ew_short,ew_mkt_neutral,vw_long,vw_short,vw_mkt_neutral,sp500
1986-03-01,3.0,2.823295573039307,0.05932200917042792,-0.08008322575362399,-0.04813258923363026,0.06802874733085013,-0.07210499492820538,0.000512529017726443,0.0551
1986-04-01,3.0,2.6345542540033104,0.012997917823959142,0.024145468794740735,0.10260630099996582,0.006747789366325867,0.029640188859850033,0.09833205374915703,-0.007600000000000001
1986-05-01,3.0,2.6173817511333195,0.08269958231539931,-0.04462160425260663,0.1313069742691324,0.07958467162294289,-0.05993121969526496,0.08189113411528037,0.0512
1986-06-01,3.0,2.6557885030961677,0.02480320897535421,-0.01564817371661775,0.03285138707501759,0.03046793128459753,-0.03680103293787722,-0.0063319663246851066,0.0158
1986-07-01,3.0,2.9621746345660136,-0.078769776429981,0.0772283732611686,-0.007545400946913167,-0.06344316765267906,0.03945765809830832,-0.07344902899985004,-0.0591
1986-08-01,3.0,2.8316028743544503,0.054192473196890203,-0.0712029624870047,-0.039041093650083986,0.06555722513240318,-0.08655743377436612,-0.04842460287503053,0.0653
1986-09-01,3.0,3.2729503030695395,-0.08629899169551208,0.052775510514038615,-0.08616535195496389,-0.10053363832962567,0.0906242296129562,-0.0049923152117084535,-0.0814
1986-10-01,3.0,3.2832910613301785,0.061903965696692466,-0.0523422384634614,0.013857093412981941,0.0672761953282098,-0.05056236077669912,0.035817638806741575,0.051
1986-11-01,3.0,3.122148352187616,0.02439452743041329,0.006732860611518845,0.09420457195500234,0.026102623071085823,-0.010877684989766828,0.044346122946841,0.0155
1986-12-01,3.0,3.1227864783828294,-0.029672870547510683,0.03127658209297806,0.008651476007450365,-0.024917465568419745,0.019387164285277,-0.014210422221009718,-0.027699999999999995
1987-01-01,3.0,3.185018231108306,0.14494057511910796,-0.11367977647809312,0.07274956476628014,0.16689948799562768,-0.11912396126448593,0.12128647559765565,0.1286
1987-02-01,3.0,3.2461669195683056,0.07086247560568154,-0.07037508019129746,-0.01586183046191192,0.06382510265464358,-0.04280351030155218,0.05252796878163088,0.048
1987-03-01,3.0,3.1985676805512506,0.012408264043042436,-0.005138312170747668,0.020789552887190685,0.038914643667868856,-0.0024828155623328485,0.10880247738915905,0.020999999999999998
1987-04-01,3.0,3.1473199556299103,-0.02265460801310837,0.034872073375154286,0.04178974838848845,-0.011202302352265207,0.014692691679106583,0.012635694666774062,-0.016499999999999997
1987-05-01,3.0,3.061328674854066,0.01719860695535317,-0.014844285131403012,0.006152585135585614,0.019539576522835472,-0.017449067089244603,0.0052014001387495415,0.0049
1987-06-01,3.0,3.1184390292183215,0.04499518539058044,-0.02311290136887692,0.06290938246456196,0.04422056470212833,-0.030446316155290046,0.03771671351180822,0.0439
1987-07-01,3.0,3.054428942661862,0.054650443189311775,-0.04848250823793933,0.015864953193131276,0.06594611723521097,-0.07092205261150715,-0.01878801846394182,0.043
1987-08-01,3.0,3.1738262872988527,0.03598424973199144,-0.018496904871426523,0.04924678628137463,0.0330012386791196,-0.012603525632321077,0.05900231507285327,0.039900000000000005
1987-09-01,3.0,3.1073549305215873,-0.030575038217939436,0.023390367622487248,-0.01904294049537006,-0.021728538419881854,0.021289751478504274,0.0009691989666639478,-0.0213
1987-10-01,3.0,2.834143044810664,-0.25642009153962136,0.2984501313790679,0.07659008945195012,-0.2216243807553624,0.2590709671056644,0.069371037268804,-0.22590000000000002
1987-11-01,3.0,2.977896287612558,-0.066676019965671,0.03627735002199188,-0.09199787394210203,-0.07908422000774934,0.06729419124783413,-0.036857537728433254,-0.0741
1987-12-01,3.0,3.056165894038968,0.12618585892487316,-0.08968247012933717,0.10447307027217073,0.11531504182554592,-0.09572272040459082,0.05340061209149927,0.0721
1988-01-01,3.0,2.9711968909835402,0.03240606603445485,-0.04473194436170161,-0.035689215911771974,0.05654200249840663,-0.06371969709184042,-0.019697758398469295,0.045
1988-02-01,3.0,2.97653193138839,0.08503663014387712,-0.06073565087746829,0.0743282862211897,0.055707753717908086,-0.040809626637481555,0.04565210435922219,0.05229999999999999
1988-03-01,3.0,3.052162100204649,0.003851945209316909,-0.004753538311924785,-0.002952733849576889,-0.02850863515075041,0.02440528986244589,-0.011037004689585142,-0.018199999999999997
1988-04-01,3.0,3.01733480239096,-0.00011274622636847198,-0.004546984942862764,-0.014058014593152904,0.007240465408352813,-0.007376067123315917,-0.0005346678108944479,0.0102
1988-05-01,3.0,2.9732966115139137,-0.019110182745935164,0.007557175196707249,-0.03486082483281884,-0.007561811743338587,-0.007494760366880635,-0.04496958083297073,0.0024000000000000002
1988-06-01,3.0,2.880383800721328,0.06525341833941639,-0.06711266442667693,0.002450023580402416,0.05007998785441454,-0.05461192224276093,-0.007063332591057736,0.052700000000000004
1988-07-01,3.0,3.0030198610532963,-0.019304166643414646,0.002564677787013352,-0.05021072159864062,0.001884642463451961,-0.0012369702470057169,0.001939281171065713,-0.0074
1988-08-01,3.0,2.972295298622236,-0.023996774349070618,0.021599951895768753,-0.007788887576951925,-0.013114813202311533,0.030695394165224658,0.051891336159719074,-0.0272
1988-09-01,3.0,2.954394751160211,0.05363541772356257,-0.047088638239656574,0.021787827516164315,0.05388438716446752,-0.04391847487024402,0.03190064985779198,0.039299999999999995
1988-10-01,3.0,3.2473786912909453,-0.010117445056093856,0.0010715658328263088,-0.02687255511644598,0.0034994214949568532,-0.02185155020018384,-0.06046199400688083,0.0177
1988-11-01,3.0,3.440395314021598,-0.02475694731459953,0.016121222721849335,-0.018807462835249616,-0.017401779624185394,0.006348173888516751,-0.030365111173908887,-0.017
1988-12-01,3.0,2.9343888692182816,0.04267221728747245,-0.03280387684935704,0.031757320768456776,0.03042526050261609,-0.008899366807392214,0.06516157860514592,0.0211
1989-01-01,3.0,3.367060293265898,0.06239422121318057,-0.06738610535860062,-0.03971041603123479,0.07282434275542221,-0.07669755503403025,-0.039772263879392644,0.06609999999999999
