date,ew_long,ew_short,ew_130_30,vw_long,vw_short,vw_130_30,sp500
1974-07-01,-0.05295689664781093,,,-0.07382438892177286,,,-0.0736
1974-08-01,-0.09929091669619083,,,-0.1462500902230242,,,-0.0879
1974-09-01,-0.07440260453149676,,,-0.10854357950116164,,,-0.10969999999999999
1974-10-01,0.013019767589867115,,,0.04093374738171466,,,0.1661
1974-11-01,0.023935407400131226,,,0.054386802050005886,,,-0.0399
1974-12-01,-0.05772381722927093,,,-0.06639598366124436,,,-0.027500000000000004
1975-01-01,0.24218759189049402,,,0.2017777156560259,,,0.1425
1975-02-01,0.02355246605972449,,,0.01098550296928106,,,0.059899999999999995
1975-03-01,0.05008154132713874,,,0.0005343296799162387,,,0.0307
1975-04-01,-0.020592158776707947,,,0.004590026946261404,,,0.046599999999999996
1975-05-01,0.022534975243615918,,,0.021597456381087614,,,0.056400000000000006
1975-06-01,0.12529694905970246,,,0.14518580494877795,,,0.0528
1975-07-01,-0.027130525623416078,,,-0.053934466422607324,,,-0.061200000000000004
1975-08-01,-0.04801749240338676,,,-0.047377935080979525,,,-0.0236
1975-09-01,-0.04929996434287405,,,-0.05292127305829289,,,-0.0373
1975-10-01,0.012024415478877285,,,0.04674678629857848,,,0.058800000000000005
1975-11-01,0.0010709291123981836,,,0.029199009400694344,,,0.0306
1975-12-01,-0.015339669545129355,,,-0.01497574841470852,,,-0.011200000000000002
1976-01-01,0.1730392930006666,,,0.15242069102566894,,,0.1263
1976-02-01,0.04079042442026548,,,0.017377814349231597,,,0.0066
1976-03-01,0.015429263359401375,,,0.02744736312734466,,,0.0272
1976-04-01,-0.005604229738237336,0.02542454419958898,0.0003418646001681564,0.017161398904458558,0.02319433713174737,0.029268119715320336,-0.010600000000000002
1976-05-01,-0.019365190843236634,-0.013991157181889695,-0.029372095250774534,0.03237534930702803,-0.005714060420549219,0.04037373597297168,-0.009800000000000001
1976-06-01,0.03568550275469368,-0.006383045740863856,0.04447623985884263,0.04459376378557446,-0.01738076645344829,0.05275766298521231,0.0448
1976-07-01,0.00967827054206282,0.005075324155694368,0.014104348951389976,0.0023943054257731335,0.03419517715144042,0.0133711501989372,-0.005900000000000001
1976-08-01,-0.009609219813903206,0.029803957887149107,-0.003550798391929436,0.002534336177793186,0.037551053888125185,0.014559953197568698,-0.0014999999999999996
1976-09-01,0.0251533525581989,-0.019616339188360143,0.026814456569150533,0.047580710767068636,-0.022902374985537356,0.05498421150152802,0.024800000000000003
1976-10-01,-0.01881857593776658,0.003835879854465786,-0.02331338476275682,-0.026700308920402302,0.019659540370956442,-0.02881253948523606,-0.0201
1976-11-01,0.038322899449364435,-0.023508644254322638,0.042767176007876974,0.01042170866921912,-0.024181015166693794,0.006293916719976717,0.0077
1976-12-01,0.0809524376771503,-0.11309055538315858,0.07131100236534782,0.0680394357360686,-0.07127542151592958,0.06706864000211032,0.0605
1977-01-01,-0.017187739375513048,0.03387449550442398,-0.01218171253683977,-0.015581024139079533,0.05729085641856723,-0.0030680744552332266,-0.0368
1977-02-01,-0.020241460760467147,0.014881999859557554,-0.021849299030740024,-0.01869153352044682,0.011045304619112652,-0.02098540219084707,-0.0159
1977-03-01,-0.0076071607488158504,0.003190574741480661,-0.008932136551016408,-0.008954462195272501,0.018417247249387772,-0.006115626679037921,-0.009700000000000002
1977-04-01,0.010436245664022863,-0.013006342540029437,0.009665216601220893,-0.00603480483850647,-0.008089390016891919,-0.010272063295125988,0.0053
1977-05-01,-0.008258301900544515,0.008795688088272927,-0.00809708604422599,-0.011809385724371225,0.024017754289225732,-0.008146875154914874,-0.011
1977-06-01,0.05597922877053317,-0.047136516461494506,0.05863204246324478,0.05492943528478743,-0.03697640367212939,0.06031534476858484,0.051199999999999996
1977-07-01,-0.01278675491688773,0.027301024447660895,-0.00843247405765578,-0.004988147384731591,0.031796358555782514,0.0030543159665836848,-0.0127
1977-08-01,-0.006995039134794338,0.027434563965118508,-0.000863181685697087,-0.014409964194602607,0.021894043352075062,-0.01216474044736087,-0.0132
1977-09-01,-0.0017227527586686792,-0.0016081654802732861,-0.002722028230351269,-0.0017635732913671817,0.004823614212203733,-0.0008455610151162161,0.0015999999999999999
1977-10-01,-0.029531822553253734,0.03774888914311305,-0.02706670257629594,-0.037599490775940124,0.04142483949312946,-0.03645188616078333,-0.03899999999999999
1977-11-01,0.06042192842259358,-0.048136154712362135,0.06410766053566301,0.028691306435456504,-0.04150363903101004,0.02484760665679045,0.04519999999999999
1977-12-01,0.00957638740644087,0.0005223872358328663,0.01260601979912299,0.010669022155982892,0.009541488080639598,0.01673217522696964,0.0076
1978-01-01,-0.053682704754173756,0.05270223148865625,-0.05397684673382902,-0.047372938891626304,0.060350990078119046,-0.04347952353567848,-0.055
1978-02-01,-0.014682157572159278,0.011341494905546007,-0.01568435637214326,-0.02191686744649426,-0.0013053731373963914,-0.028883539621661458,-0.0093
1978-03-01,0.045431746150918155,-0.044301335344609526,0.04577086939281075,0.01336013237006789,-0.026107564726314918,0.009535902663193783,0.033800000000000004
1978-04-01,0.07096701296512037,-0.08796996484743431,0.06586612740042619,0.08659266050112599,-0.07176347862195767,0.09104141506487648,0.08410000000000001
1978-05-01,0.044596032743171164,-0.030831305074947652,0.04872545104363822,0.005370585889196228,-0.0024199514362659522,0.00625577622507531,0.0227
1978-06-01,-0.003775775158950656,0.023173798505235845,0.0020436318449349004,-0.01523447218451809,0.024502068044217007,-0.012454193426608418,-0.011499999999999998
1978-07-01,0.05741772185137961,-0.06672054881928488,0.054626873761008034,0.06762759407687072,-0.042116297751861126,0.07528098297437359,0.0568
1978-08-01,0.048164181804750114,-0.04748564563000325,0.04836774265717418,0.0309225082221341,-0.03356491539548358,0.030129786070129255,0.043500000000000004
1978-09-01,-0.01598378579188703,0.004100141756377222,-0.01954887900253997,-0.015031583642277238,-0.006113580907075769,-0.02137513300708314,-0.008299999999999998
1978-10-01,-0.11798908535391092,0.14644004754722117,-0.10945379669591784,-0.08158718376566101,0.09061657613628842,-0.07887836605447279,-0.1123
1978-11-01,0.02676356280975671,-0.03914679260196863,0.023048593872093136,0.0284255077847242,-0.03400499033691623,0.026751663019066597,0.0342
1978-12-01,0.012768156477838116,-0.00616961294549911,0.01474771953753982,0.03443633668017213,0.0018641973852033822,0.04532649689978479,0.0166
1979-01-01,0.04771600125590339,-0.05486765853594989,0.045570504071889444,0.041872527600320876,-0.04691994274983754,0.04035830305546588,0.04989999999999999
1979-02-01,-0.028241047881310807,0.016695066508789037,-0.031704842293067345,-0.03191335451142907,0.014144478224585477,-0.03724401739748215,-0.0283
1979-03-01,0.0497237747756181,-0.09603654443077286,0.03582994387907168,0.050031050494256164,-0.0561132411171479,0.04820639330738864,0.0648
1979-04-01,0.007855657134205102,-0.01510637869592756,0.005680440665688366,0.011381348967376628,-0.014047863416482818,0.01058139463264477,0.0073
1979-05-01,-0.011804804241234836,0.012947773156367769,-0.011461913566694957,-0.024915773225763035,0.01014004419389676,-0.029348491935322917,-0.0139
1979-06-01,0.04000750611555407,-0.07544903965394079,0.02937504605403806,0.030524026141455038,-0.06156673000934756,0.02121121498108728,0.0465
1979-07-01,0.017263725084485485,-0.02338192909490317,0.01542826388136018,-0.0025588686362854004,-0.013978219323786657,-0.007519995024307018,0.016
1979-08-01,0.07151636663786691,-0.07364189659240608,0.07087870765150515,0.05770492055029005,-0.05548857487063436,0.058369824254186756,0.0631
1979-09-01,-0.0026662214774975782,0.0002589540731884083,-0.003388401698790329,0.006520772610699892,0.003264294931686989,0.009456292873415956,0.0
1979-10-01,-0.07663497170899064,0.08893459563842043,-0.0729450845301617,-0.06263937632502457,0.06525921030971307,-0.06185342612961803,-0.0723
1979-11-01,0.04475487513496473,-0.0792851707204439,0.03439578645932099,0.04371079003732805,-0.05512663834249156,0.040286035545779,0.062200000000000005
1979-12-01,0.011472567452706004,-0.05381833524198124,-0.0012311628840765663,-0.003768251076362704,-0.025459718721003204,-0.012536642015572478,0.027299999999999998
1980-01-01,0.02217990141827613,-0.061273848951585,0.010451717158283472,0.05047306406585617,-0.024810026680017517,0.058171975281607766,0.063
1980-02-01,-0.030376106169382015,0.02519370468192945,-0.03193082661561779,0.01170957466469483,0.01575876038555041,0.019950075179768403,-0.0034000000000000002
1980-03-01,-0.06693961423297878,0.13116067200470224,-0.047673296901461756,-0.09102038395364831,0.08406724312216424,-0.09310632620309353,-0.11680000000000001
1980-04-01,0.05680853462778032,-0.0710183386184508,0.052545593430579185,0.037256053775902125,-0.0701754318970698,0.027380240339551824,0.052199999999999996
1980-05-01,0.07171507490883497,-0.07244612922039913,0.07149575861536572,0.04533550423063624,-0.052061320970885276,0.04331775920856153,0.060700000000000004
