name,start,end,months,ann_ret,geo_ret,ann_vol,sharpe,t_stat_ret,p_val_ret,ret_ci_lo,ret_ci_hi,max_dd,capm_alpha,alpha_se,alpha_t,alpha_p,alpha_ci_lo,alpha_ci_hi,capm_beta,beta_t,skewness,kurtosis,calmar,sortino,pct_positive,worst_month
130/30 (EW),1976-04-01,2024-12-01,585,0.1671003216436847,0.1658525557451731,0.159086812823356,1.0503719238452947,7.33382283990554,7.507328092515309e-13,0.12244194393656241,0.21175869935080702,-0.3706419120767285,0.04686575094145101,0.008955221822417349,5.23334339124167,1.6647105721228298e-07,0.02931351616951301,0.06441798571338901,0.9462474211716438,36.804633719543425,-0.37638326992986304,1.8866774991402702,0.45084032916680084,1.7997202377177044,64.44444444444444,-0.23347371009364726
EW Long,1974-07-01,2024-12-01,606,0.154680982596749,0.15069638460004176,0.1644901611025793,0.9403661687721668,6.68255720770483,5.336020514334905e-11,0.10931291219099554,0.20004905300250247,-0.4481412854306327,0.03018051085177751,0.00654472311205063,4.611426692170814,3.999146921113512e-06,0.017352853552158275,0.04300816815139674,0.9709251904621622,38.85006629165002,-0.18987803234896078,2.438655702033004,0.3451611972061697,1.5934190231248246,62.541254125412536,-0.23653432134538888
EW Short,1976-04-01,2024-12-01,585,-0.11083720723125759,-0.11972214188924413,0.17959246741105409,-0.6171595547911909,-4.30908208420488,1.923566879136196e-05,-0.16125187140522879,-0.060422543057286386,-0.9981826249171166,-0.018985735373582665,0.009546987897269068,-1.9886623485731627,0.04673848449629787,-0.037697831652230035,-0.0002736390949352914,-1.1073147171130258,-55.967897507428546,0.6015188840154431,2.1826296072489946,-0.1110390067553629,-0.8079095468167337,39.14529914529915,-0.1913330150312003
130/30 (VW),1976-04-01,2024-12-01,585,0.15897485999593022,0.15769660992043755,0.15305095453488662,1.0387054460329634,7.252366091587192,1.3069545445887343e-12,0.11601085050481103,0.20193886948704942,-0.35681487835663456,0.04667207042217343,0.01227820254560535,3.8012135936687605,0.00014398910956573788,0.02260679343278695,0.07073734741155992,0.850625894386627,28.319826461915888,-0.19230213927163414,1.1122124897562573,0.4455387643253926,1.805314486455045,64.44444444444444,-0.19782952644689059
VW Long,1974-07-01,2024-12-01,606,0.14389521948258155,0.1399797217900718,0.15627861745740396,0.9207607657637636,6.54323464216121,1.2838863305830728e-10,0.10079197688012695,0.18699846208503615,-0.4079732310264185,0.02543296755433126,0.008798348675744144,2.8906523816732235,0.003844431020032509,0.008188204149872737,0.04267773095878978,0.8994996070403454,42.98373858060932,-0.19040379499109264,1.674774609702471,0.35270750269706674,1.5434278678572861,64.35643564356435,-0.2059999379936608
VW Short,1976-04-01,2024-12-01,585,-0.09921704436375008,-0.10803858089471963,0.17113974807911272,-0.5797428445312718,-4.047834122346049,5.865706057206488e-05,-0.1472588862661652,-0.05117520246133495,-0.996748639037574,-0.012439185003832981,0.009833715992739665,-1.2649526397769633,0.2058883057064551,-0.031713268349602725,0.006834898341936763,-1.0461498204154407,-39.05258570153212,0.5100527201336315,2.167014709425506,-0.09954068706785556,-0.7602274516873164,38.46153846153847,-0.18665280814897917
S&P 500,1974-07-01,2024-12-01,606,0.12695841584158418,0.12040095078017443,0.15892759208230575,0.7988443930858443,5.676856031327278,2.1304565001045717e-08,0.08312455891861317,0.1707922727645552,-0.5030641442636927,7.806255641895632e-18,1.1738019628286852e-17,0.6650402613984164,0.5060247420119051,-1.5200262829546598e-17,3.0812774113337865e-17,1.0000000000000004,1.5174676489775972e+16,-0.5168150115399054,1.8073327387593316,0.25237023407304493,1.2502152040790029,63.53135313531353,-0.22590000000000002
